path,module,installed_package,owner,role,lines,direct_internal_dependencies,runtime_importers,test_importers,decision,target_package,change_risk
python_port/ims/api/calculated_export_provenance_report.py,ims.api.calculated_export_provenance_report,true,workbench,report,412,ims.model.legacy_calculated_comparison,python_port/ims/api/vu14_generation_contract.py,tests/test_api_calculated_export_provenance_report.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/controlled_execution_adapter.py,ims.api.controlled_execution_adapter,true,workbench,runtime,191,ims.api.controlled_execution_adapter_contract|ims.engine.explicit_period_plan|ims.engine.explicit_period_runner,python_port/ims/api/app.py|python_port/ims/api/run_control_adapter_result_contract.py|python_port/ims/api/run_control_adapter_start.py|python_port/ims/api/run_control_browser_demo_smoke.py|python_port/ims/api/run_control_execution_release.py,tests/test_api_controlled_execution_adapter.py|tests/test_imports.py,keep,ims.workbench,medium
python_port/ims/api/controlled_execution_adapter_contract.py,ims.api.controlled_execution_adapter_contract,true,workbench,contract,159,ims.api.metadata,python_port/ims/api/controlled_execution_adapter.py|python_port/ims/api/run_control_adapter_result_contract.py|python_port/ims/api/run_control_browser_demo_smoke.py,tests/test_api_controlled_execution_adapter_contract.py|tests/test_imports.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/core_validation_carryover_probe_contract.py,ims.api.core_validation_carryover_probe_contract,true,legacy_validation,contract,119,ims.api.metadata|ims.engine.core_validation_overview,python_port/ims/api/app.py,tests/test_api_core_validation_carryover_probe_contract.py|tests/test_imports.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/historical_100_period_corpus_delivery.py,ims.api.historical_100_period_corpus_delivery,true,legacy_validation,delivery,474,ims.api.historical_horizon_contract|ims.api.production_release_corpus_report|ims.engine.vdefmd6_pre_shock_runner|ims.model.agrsich_export|ims.model.legacy_export_identity,,tests/test_api_historical_100_period_corpus_delivery.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/historical_300_period_rule_delivery.py,ims.api.historical_300_period_rule_delivery,true,legacy_validation,delivery,755,ims.api.historical_horizon_contract|ims.api.production_release_corpus_report|ims.engine.vdefmd6_repeat_corpus|ims.model.agrsich_export|ims.model.legacy_agrsich_multi_period|ims.model.legacy_export_identity|ims.model.legacy_validation_report|ims.model.legacy_validation_run|ims.model.legacy_vn_reference,,tests/test_api_historical_300_period_rule_delivery.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/historical_500_period_vn_class_delivery.py,ims.api.historical_500_period_vn_class_delivery,true,legacy_validation,delivery,128,ims.api.historical_500_period_vn_rule_delivery|ims.engine.vdefmd6_repeat_corpus|ims.model.agrsich_export,python_port/ims/api/historical_500_period_vu_class_delivery.py,tests/test_api_historical_500_period_vn_class_delivery.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/historical_500_period_vn_rule_delivery.py,ims.api.historical_500_period_vn_rule_delivery,true,legacy_validation,delivery,943,ims.api.historical_horizon_contract|ims.api.production_release_corpus_report|ims.engine.vdefmd6_repeat_corpus|ims.model.agrsich_export|ims.model.legacy_agrsich_multi_period|ims.model.legacy_agrsich_reference|ims.model.legacy_export_identity|ims.model.legacy_validation_run|ims.model.legacy_vn_reference,python_port/ims/api/historical_500_period_vn_class_delivery.py|python_port/ims/api/historical_500_period_vu_class_delivery.py,tests/test_api_historical_500_period_vn_class_delivery.py|tests/test_api_historical_500_period_vn_rule_delivery.py|tests/test_api_historical_500_period_vu_class_delivery.py,freeze_then_move,ims.legacy,high
python_port/ims/api/historical_500_period_vu_class_delivery.py,ims.api.historical_500_period_vu_class_delivery,true,legacy_validation,delivery,136,ims.api.historical_500_period_vn_class_delivery|ims.api.historical_500_period_vn_rule_delivery|ims.engine.vdefmd6_repeat_corpus|ims.model.agrsich_export,,tests/test_api_historical_500_period_vu_class_delivery.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/historical_500_period_vusk1_delivery.py,ims.api.historical_500_period_vusk1_delivery,true,legacy_validation,delivery,881,ims.api.historical_horizon_contract|ims.api.production_release_corpus_report|ims.engine.vdefmd6_repeat_corpus|ims.model.agrsich_export|ims.model.legacy_agrsich_multi_period|ims.model.legacy_agrsich_reference|ims.model.legacy_export_identity|ims.model.legacy_validation_run,,tests/test_api_historical_500_period_vusk1_delivery.py,freeze_then_move,ims.legacy,high
python_port/ims/api/historical_archive_manifest.py,ims.api.historical_archive_manifest,true,legacy_validation,runtime,591,ims.model.agrsich_export,python_port/ims/api/historical_archive_run_metadata.py|python_port/ims/api/historical_reference_archive_coherence.py,tests/test_api_historical_archive_manifest.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/historical_archive_run_metadata.py,ims.api.historical_archive_run_metadata,true,legacy_validation,workbench_state,700,ims.api.historical_archive_manifest,,tests/test_api_historical_archive_run_metadata.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/historical_horizon_contract.py,ims.api.historical_horizon_contract,true,legacy_validation,contract,845,ims.api.historical_reference_layer_contract|ims.model.agrsich_export|ims.model.legacy_calculated_comparison|ims.model.legacy_export_identity|ims.model.legacy_validation_run,python_port/ims/api/historical_100_period_corpus_delivery.py|python_port/ims/api/historical_300_period_rule_delivery.py|python_port/ims/api/historical_500_period_vn_rule_delivery.py|python_port/ims/api/historical_500_period_vusk1_delivery.py,tests/test_api_historical_horizon_contract.py,freeze_then_move,ims.legacy,high
python_port/ims/api/historical_reference_archive_coherence.py,ims.api.historical_reference_archive_coherence,true,legacy_validation,runtime,620,ims.api.historical_archive_manifest,python_port/ims/api/historical_reference_layer_contract.py,tests/test_api_historical_reference_archive_coherence.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/historical_reference_layer_contract.py,ims.api.historical_reference_layer_contract,true,legacy_validation,contract,939,ims.api.historical_reference_archive_coherence|ims.model.agrsich_export|ims.model.legacy_agrsich_reference|ims.model.legacy_vn_reference,python_port/ims/api/historical_horizon_contract.py,tests/test_api_historical_reference_layer_contract.py,freeze_then_move,ims.legacy,high
python_port/ims/api/metadata.py,ims.api.metadata,true,workbench,workbench_state,192,,python_port/ims/api/app.py|python_port/ims/api/controlled_execution_adapter_contract.py|python_port/ims/api/core_validation_carryover_probe_contract.py|python_port/ims/api/metadata_consistency.py|python_port/ims/api/metadata_import.py|python_port/ims/api/metadata_import_cli.py|python_port/ims/api/metadata_repository.py|python_port/ims/api/metadata_write_contracts.py|python_port/ims/api/run_control_adapter_result_api_contract.py|python_port/ims/api/run_control_adapter_result_contract.py|python_port/ims/api/run_control_adapter_start.py|python_port/ims/api/run_control_adapter_start_contract.py|python_port/ims/api/run_control_contracts.py|python_port/ims/api/run_control_dry_run_contract.py|python_port/ims/api/run_control_execution_history.py|python_port/ims/api/run_control_execution_release.py|python_port/ims/api/run_control_execution_result_store.py|python_port/ims/api/run_control_queue.py|python_port/ims/api/run_control_queue_action_plan.py|python_port/ims/api/run_control_queue_diagnostics.py|python_port/ims/api/run_control_queue_overview.py|python_port/ims/api/run_control_requests.py|python_port/ims/api/workbench_metadata_recovery.py,tests/test_api_metadata.py|tests/test_api_metadata_consistency.py|tests/test_api_metadata_import.py|tests/test_api_metadata_import_cli.py|tests/test_api_metadata_repository.py|tests/test_api_metadata_write_contracts.py|tests/test_api_run_control_contracts.py|tests/test_imports.py,keep,ims.workbench,high
python_port/ims/api/metadata_consistency.py,ims.api.metadata_consistency,true,workbench,workbench_state,63,ims.api.metadata,python_port/ims/api/app.py|python_port/ims/api/metadata_import_cli.py,tests/test_api_metadata_consistency.py|tests/test_imports.py,keep,ims.workbench,medium
python_port/ims/api/metadata_import.py,ims.api.metadata_import,true,workbench,workbench_state,206,ims.api.metadata|ims.api.metadata_repository,python_port/ims/api/app.py|python_port/ims/api/metadata_import_cli.py|python_port/ims/api/metadata_write_contracts.py|python_port/ims/api/run_control_adapter_start.py|python_port/ims/api/run_control_browser_demo_smoke.py|python_port/ims/api/run_control_execution_history.py|python_port/ims/api/run_control_execution_release.py|python_port/ims/api/run_control_execution_result_store.py|python_port/ims/api/run_control_preflight.py|python_port/ims/api/run_control_queue.py|python_port/ims/api/run_control_queue_action_plan.py|python_port/ims/api/run_control_queue_diagnostics.py|python_port/ims/api/run_control_queue_overview.py|python_port/ims/api/run_control_requests.py|python_port/ims/api/sqlite_readonly.py|python_port/ims/api/workbench_metadata_recovery.py,tests/test_api_metadata_import.py|tests/test_api_metadata_import_cli.py|tests/test_api_run_control_adapter_start.py|tests/test_api_run_control_browser_demo_smoke.py|tests/test_api_run_control_execution_release.py|tests/test_api_run_control_execution_result_store.py|tests/test_api_run_control_queue.py|tests/test_api_run_control_requests.py|tests/test_api_workbench_metadata_recovery.py|tests/test_imports.py,keep,ims.workbench,high
python_port/ims/api/metadata_import_cli.py,ims.api.metadata_import_cli,true,workbench,workbench_state,537,ims.api.metadata|ims.api.metadata_consistency|ims.api.metadata_import|ims.api.metadata_repository|ims.api.metadata_write_contracts|ims.api.sqlite_readonly,python_port/ims/api/run_control_preflight.py|python_port/ims/api/run_control_queue_diagnostics.py,tests/test_api_metadata_import_cli.py|tests/test_api_metadata_readonly_sqlite_uri.py|tests/test_imports.py|tests/test_workbench_smoke.py,keep,ims.workbench,medium
python_port/ims/api/metadata_repository.py,ims.api.metadata_repository,true,workbench,workbench_state,512,ims.api.metadata,python_port/ims/api/app.py|python_port/ims/api/metadata_import.py|python_port/ims/api/metadata_import_cli.py|python_port/ims/api/metadata_write_contracts.py|python_port/ims/api/run_control_adapter_start.py|python_port/ims/api/run_control_browser_demo_smoke.py|python_port/ims/api/run_control_execution_result_store.py|python_port/ims/api/run_control_preflight.py|python_port/ims/api/run_control_queue.py|python_port/ims/api/workbench_diagnostics.py,tests/test_api_health.py|tests/test_api_metadata_consistency.py|tests/test_api_metadata_import.py|tests/test_api_metadata_import_cli.py|tests/test_api_metadata_readonly_sqlite_uri.py|tests/test_api_metadata_repository.py|tests/test_api_run_control_adapter_start.py|tests/test_api_run_control_execution_history.py|tests/test_api_run_control_execution_release.py|tests/test_api_run_control_execution_result_store.py|tests/test_api_run_control_preflight.py|tests/test_api_run_control_queue.py|tests/test_api_run_control_queue_action_plan.py|tests/test_api_run_control_queue_diagnostics.py|tests/test_api_workbench_diagnostics.py|tests/test_api_workbench_metadata_recovery.py|tests/test_api_workbench_readiness.py|tests/test_imports.py|tests/test_run_control_core_diagnostics_bridge.py|tests/test_workbench_demo_smoke.py|tests/test_workbench_smoke.py,keep,ims.workbench,high
python_port/ims/api/metadata_write_contracts.py,ims.api.metadata_write_contracts,true,workbench,contract,296,ims.api.metadata|ims.api.metadata_import|ims.api.metadata_repository,python_port/ims/api/metadata_import_cli.py,tests/test_api_metadata_write_contracts.py|tests/test_imports.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/production_release_corpus_report.py,ims.api.production_release_corpus_report,true,workbench,report,442,ims.model.agrsich_export|ims.model.legacy_calculated_comparison|ims.model.legacy_calculated_deviation_report|ims.model.legacy_export_identity|ims.model.legacy_validation_coverage,python_port/ims/api/historical_100_period_corpus_delivery.py|python_port/ims/api/historical_300_period_rule_delivery.py|python_port/ims/api/historical_500_period_vn_rule_delivery.py|python_port/ims/api/historical_500_period_vusk1_delivery.py,tests/test_api_production_release_corpus_report.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/run_control_adapter_result_api_contract.py,ims.api.run_control_adapter_result_api_contract,true,workbench,contract,120,ims.api.metadata|ims.api.run_control_adapter_result_contract,python_port/ims/api/app.py,tests/test_api_run_control_adapter_result_api_contract.py|tests/test_imports.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/run_control_adapter_result_contract.py,ims.api.run_control_adapter_result_contract,true,workbench,contract,292,ims.api.controlled_execution_adapter|ims.api.controlled_execution_adapter_contract|ims.api.metadata,python_port/ims/api/run_control_adapter_result_api_contract.py|python_port/ims/api/run_control_adapter_start.py|python_port/ims/api/run_control_execution_result_store.py,tests/test_api_run_control_adapter_result_contract.py|tests/test_imports.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/run_control_adapter_start.py,ims.api.run_control_adapter_start,true,workbench,runtime,409,ims.api.controlled_execution_adapter|ims.api.metadata|ims.api.metadata_import|ims.api.metadata_repository|ims.api.run_control_adapter_result_contract|ims.api.run_control_execution_release|ims.api.run_control_execution_result_store,python_port/ims/api/app.py,tests/test_api_run_control_adapter_start.py|tests/test_api_run_control_execution_history.py|tests/test_api_workbench_metadata_recovery.py,keep,ims.workbench,medium
python_port/ims/api/run_control_adapter_start_contract.py,ims.api.run_control_adapter_start_contract,true,workbench,contract,161,ims.api.metadata,python_port/ims/api/app.py|python_port/ims/api/run_control_execution_release.py,tests/test_api_run_control_adapter_start_contract.py|tests/test_imports.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/run_control_browser_demo_smoke.py,ims.api.run_control_browser_demo_smoke,true,workbench,smoke,177,ims.api.app|ims.api.controlled_execution_adapter|ims.api.controlled_execution_adapter_contract|ims.api.metadata_import|ims.api.metadata_repository|ims.api.run_control_queue|ims.api.run_control_requests,,tests/test_api_run_control_browser_demo_smoke.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/run_control_contracts.py,ims.api.run_control_contracts,true,workbench,contract,69,ims.api.metadata,python_port/ims/api/run_control_preflight.py|python_port/ims/api/workbench_readiness.py,tests/test_api_run_control_contracts.py|tests/test_imports.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/run_control_core_diagnostics_bridge.py,ims.api.run_control_core_diagnostics_bridge,true,workbench,runtime,265,,python_port/ims/api/app.py,tests/test_imports.py|tests/test_run_control_core_diagnostics_bridge.py,keep,ims.workbench,medium
python_port/ims/api/run_control_dry_run.py,ims.api.run_control_dry_run,true,workbench,runtime,86,ims.api.run_control_preflight|ims.api.run_control_requests,python_port/ims/api/app.py,,keep,ims.workbench,medium
python_port/ims/api/run_control_dry_run_contract.py,ims.api.run_control_dry_run_contract,true,workbench,contract,89,ims.api.metadata,python_port/ims/api/app.py,tests/test_api_run_control_contracts.py|tests/test_api_run_control_dry_run_contract.py|tests/test_imports.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/run_control_execution_history.py,ims.api.run_control_execution_history,true,workbench,runtime,188,ims.api.metadata|ims.api.metadata_import|ims.api.sqlite_readonly,python_port/ims/api/app.py,tests/test_api_run_control_execution_history.py|tests/test_imports.py,keep,ims.workbench,medium
python_port/ims/api/run_control_execution_release.py,ims.api.run_control_execution_release,true,workbench,runtime,394,ims.api.controlled_execution_adapter|ims.api.metadata|ims.api.metadata_import|ims.api.run_control_adapter_start_contract|ims.api.run_control_preflight|ims.api.run_control_queue,python_port/ims/api/app.py|python_port/ims/api/run_control_adapter_start.py,tests/test_api_run_control_adapter_start.py|tests/test_api_run_control_execution_release.py,keep,ims.workbench,medium
python_port/ims/api/run_control_execution_result_store.py,ims.api.run_control_execution_result_store,true,workbench,runtime,486,ims.api.metadata|ims.api.metadata_import|ims.api.metadata_repository|ims.api.run_control_adapter_result_contract|ims.api.sqlite_readonly,python_port/ims/api/app.py|python_port/ims/api/run_control_adapter_start.py,tests/test_api_run_control_adapter_start.py|tests/test_api_run_control_execution_history.py|tests/test_api_run_control_execution_result_store.py|tests/test_api_workbench_metadata_recovery.py|tests/test_imports.py,keep,ims.workbench,medium
python_port/ims/api/run_control_preflight.py,ims.api.run_control_preflight,true,workbench,runtime,147,ims.api.metadata_import|ims.api.metadata_import_cli|ims.api.metadata_repository|ims.api.run_control_contracts,python_port/ims/api/app.py|python_port/ims/api/run_control_dry_run.py|python_port/ims/api/run_control_execution_release.py|python_port/ims/api/run_control_queue_action_plan.py|python_port/ims/api/workbench_readiness.py,tests/test_api_run_control_adapter_start.py|tests/test_api_run_control_execution_release.py|tests/test_api_run_control_preflight.py|tests/test_imports.py|tests/test_workbench_smoke.py,keep,ims.workbench,medium
python_port/ims/api/run_control_queue.py,ims.api.run_control_queue,true,workbench,workbench_state,374,ims.api.metadata|ims.api.metadata_import|ims.api.metadata_repository|ims.api.run_control_requests|ims.api.sqlite_readonly,python_port/ims/api/app.py|python_port/ims/api/run_control_browser_demo_smoke.py|python_port/ims/api/run_control_execution_release.py|python_port/ims/api/run_control_queue_action_plan.py|python_port/ims/api/run_control_queue_diagnostics.py|python_port/ims/api/run_control_queue_overview.py,tests/test_api_health.py|tests/test_api_run_control_adapter_start.py|tests/test_api_run_control_execution_history.py|tests/test_api_run_control_execution_release.py|tests/test_api_run_control_execution_result_store.py|tests/test_api_run_control_queue.py|tests/test_api_run_control_queue_action_plan.py|tests/test_api_run_control_queue_diagnostics.py|tests/test_api_workbench_metadata_recovery.py|tests/test_api_workbench_readiness.py|tests/test_imports.py|tests/test_run_control_core_diagnostics_bridge.py,keep,ims.workbench,high
python_port/ims/api/run_control_queue_action_plan.py,ims.api.run_control_queue_action_plan,true,workbench,plan,352,ims.api.metadata|ims.api.metadata_import|ims.api.run_control_preflight|ims.api.run_control_queue|ims.api.run_control_queue_diagnostics,python_port/ims/api/app.py,tests/test_api_run_control_queue_action_plan.py|tests/test_run_control_core_diagnostics_bridge.py,review_configured_merge,ims.workbench,medium
python_port/ims/api/run_control_queue_diagnostics.py,ims.api.run_control_queue_diagnostics,true,workbench,workbench_state,295,ims.api.metadata|ims.api.metadata_import|ims.api.metadata_import_cli|ims.api.run_control_queue,python_port/ims/api/run_control_queue_action_plan.py|python_port/ims/api/workbench_readiness.py,tests/test_api_run_control_queue_diagnostics.py|tests/test_imports.py,keep,ims.workbench,medium
python_port/ims/api/run_control_queue_overview.py,ims.api.run_control_queue_overview,true,workbench,workbench_state,146,ims.api.metadata|ims.api.metadata_import|ims.api.run_control_queue,python_port/ims/api/app.py,tests/test_imports.py,keep,ims.workbench,medium
python_port/ims/api/run_control_requests.py,ims.api.run_control_requests,true,workbench,runtime,253,ims.api.metadata|ims.api.metadata_import,python_port/ims/api/app.py|python_port/ims/api/run_control_browser_demo_smoke.py|python_port/ims/api/run_control_dry_run.py|python_port/ims/api/run_control_queue.py,tests/test_api_run_control_adapter_start.py|tests/test_api_run_control_execution_history.py|tests/test_api_run_control_execution_release.py|tests/test_api_run_control_execution_result_store.py|tests/test_api_run_control_queue.py|tests/test_api_run_control_queue_action_plan.py|tests/test_api_run_control_requests.py|tests/test_api_workbench_metadata_recovery.py|tests/test_imports.py,keep,ims.workbench,high
python_port/ims/api/sqlite_readonly.py,ims.api.sqlite_readonly,true,workbench,runtime,31,ims.api.metadata_import,python_port/ims/api/metadata_import_cli.py|python_port/ims/api/run_control_execution_history.py|python_port/ims/api/run_control_execution_result_store.py|python_port/ims/api/run_control_queue.py|python_port/ims/api/workbench_metadata_recovery.py,tests/test_api_metadata_readonly_sqlite_uri.py,keep,ims.workbench,medium
python_port/ims/api/vdefmd6_100_period_run_report.py,ims.api.vdefmd6_100_period_run_report,true,legacy_validation,report,230,ims.api.vdefmd6_pre_shock_run_report|ims.engine.vdefmd6_pre_shock_runner,,tests/test_vdefmd6_100_period_run_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_300_period_state_report.py,ims.api.vdefmd6_300_period_state_report,true,legacy_validation,report,461,ims.api.vdefmd6_pre_shock_run_report|ims.engine.vdefmd6_pre_shock_runner|ims.model.agrsich_export,,tests/test_vdefmd6_300_period_state_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_500_period_state_report.py,ims.api.vdefmd6_500_period_state_report,true,legacy_validation,report,603,ims.api.vdefmd6_pre_shock_run_report|ims.engine.vdefmd6_pre_shock_runner|ims.model.agrsich_export,,tests/test_vdefmd6_500_period_state_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_action_seed_report.py,ims.api.vdefmd6_action_seed_report,true,legacy_validation,report,254,ims.model.vdefmd6_action_seed,python_port/ims/api/vu14_generation_contract.py,tests/test_vdefmd6_action_seed.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_core_export_review_report.py,ims.api.vdefmd6_core_export_review_report,true,legacy_validation,report,415,ims.api.vdefmd6_pre_shock_run_report|ims.engine.vdefmd6_pre_shock_runner|ims.model.agrsich_export|ims.model.legacy_calculated_deviation_report,,tests/test_vdefmd6_core_export_review_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_population_report.py,ims.api.vdefmd6_population_report,true,legacy_validation,report,274,ims.model.vdefmd6_population,python_port/ims/api/vu14_generation_contract.py,tests/test_vdefmd6_population.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_pre_shock_run_report.py,ims.api.vdefmd6_pre_shock_run_report,true,legacy_validation,report,366,ims.engine.vdefmd6_pre_shock_runner|ims.model.agrsich_export|ims.model.legacy_agrsich_reference,python_port/ims/api/vdefmd6_100_period_run_report.py|python_port/ims/api/vdefmd6_300_period_state_report.py|python_port/ims/api/vdefmd6_500_period_state_report.py|python_port/ims/api/vdefmd6_core_export_review_report.py|python_port/ims/api/vdefmd6_vn_aggregate_run_report.py|python_port/ims/api/vdefmd6_vn_rule_group_1_run_report.py|python_port/ims/api/vdefmd6_vn_rule_group_2_run_report.py|python_port/ims/api/vdefmd6_vu_aggregate_run_report.py,tests/test_vdefmd6_pre_shock_run_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_pre_shock_snapshot_report.py,ims.api.vdefmd6_pre_shock_snapshot_report,true,legacy_validation,report,247,ims.model.vdefmd6_population|ims.model.vdefmd6_pre_shock_snapshots,,tests/test_vdefmd6_pre_shock_snapshot_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_vn_aggregate_run_report.py,ims.api.vdefmd6_vn_aggregate_run_report,true,legacy_validation,report,348,ims.api.vdefmd6_pre_shock_run_report|ims.engine.vdefmd6_pre_shock_runner|ims.model.agrsich_export|ims.model.legacy_vn_reference,,tests/test_vdefmd6_vn_aggregate_run_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_vn_input_draw_report.py,ims.api.vdefmd6_vn_input_draw_report,true,legacy_validation,report,408,ims.model.vdefmd6_population,,tests/test_vdefmd6_vn_input_draw_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_vn_rule_group_1_run_report.py,ims.api.vdefmd6_vn_rule_group_1_run_report,true,legacy_validation,report,344,ims.api.vdefmd6_pre_shock_run_report|ims.engine.vdefmd6_pre_shock_runner|ims.model.agrsich_export|ims.model.legacy_vn_reference,,tests/test_vdefmd6_vn_rule_group_1_run_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_vn_rule_group_2_run_report.py,ims.api.vdefmd6_vn_rule_group_2_run_report,true,legacy_validation,report,346,ims.api.vdefmd6_pre_shock_run_report|ims.engine.vdefmd6_pre_shock_runner|ims.model.agrsich_export|ims.model.legacy_vn_reference,,tests/test_vdefmd6_vn_rule_group_2_run_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_vu_aggregate_run_report.py,ims.api.vdefmd6_vu_aggregate_run_report,true,legacy_validation,report,339,ims.api.vdefmd6_pre_shock_run_report|ims.engine.vdefmd6_pre_shock_runner|ims.model.agrsich_export|ims.model.legacy_agrsich_reference,,tests/test_vdefmd6_vu_aggregate_run_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vdefmd6_vu_snapshot_report.py,ims.api.vdefmd6_vu_snapshot_report,true,legacy_validation,report,265,ims.model.vdefmd6_population|ims.model.vdefmd6_vu_snapshots,,tests/test_vdefmd6_vu_snapshot_report.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vu14_generation_contract.py,ims.api.vu14_generation_contract,true,legacy_validation,contract,450,ims.api.calculated_export_provenance_report|ims.api.vdefmd6_action_seed_report|ims.api.vdefmd6_population_report|ims.api.vu14_pre_shock_projection_report|ims.api.vu14_source_binding,,tests/test_api_vu14_generation_contract.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vu14_pre_shock_projection_report.py,ims.api.vu14_pre_shock_projection_report,true,legacy_validation,report,380,ims.api.vu14_source_binding|ims.model.legacy_agrsich_reference|ims.model.vu14_pre_shock_projection|ims.model.vu_rules,python_port/ims/api/vu14_generation_contract.py,tests/test_vu14_pre_shock_projection.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/vu14_source_binding.py,ims.api.vu14_source_binding,true,legacy_validation,runtime,335,ims.engine.context|ims.model.agrsich_export|ims.model.agrsich_service|ims.model.entities|ims.model.legacy_agrsich_reference|ims.model.vdefmd6_population|ims.model.vu_rules,python_port/ims/api/vu14_generation_contract.py|python_port/ims/api/vu14_pre_shock_projection_report.py,tests/test_api_vu14_source_binding.py,freeze_then_move,ims.legacy,medium
python_port/ims/api/workbench_artifact_manifest.py,ims.api.workbench_artifact_manifest,true,workbench,runtime,387,,python_port/ims/api/workbench_bundle_plan.py,tests/test_api_workbench_artifact_manifest.py|tests/test_imports.py,keep,ims.workbench,medium
python_port/ims/api/workbench_build_snapshot.py,ims.api.workbench_build_snapshot,true,workbench,runtime,213,,,tests/test_api_workbench_build_snapshot.py|tests/test_imports.py,keep,ims.workbench,medium
python_port/ims/api/workbench_bundle_build.py,ims.api.workbench_bundle_build,true,workbench,runtime,248,ims.api.workbench_bundle_plan,,tests/test_api_workbench_bundle_build.py|tests/test_api_workbench_bundle_smoke.py|tests/test_api_workbench_portable_staging.py|tests/test_api_workbench_portable_staging_smoke.py|tests/test_api_workbench_release_smoke.py|tests/test_imports.py,keep,ims.workbench,medium
